"filename", "language", "Python", "HTML", "comment", "blank", "total"
"/home/fidel/Websites/jooustconnectprod/social/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/fidel/Websites/jooustconnectprod/social/admin.py", "Python", 29, 0, 0, 8, 37
"/home/fidel/Websites/jooustconnectprod/social/apps.py", "Python", 4, 0, 0, 3, 7
"/home/fidel/Websites/jooustconnectprod/social/forms.py", "Python", 11, 0, 0, 1, 12
"/home/fidel/Websites/jooustconnectprod/social/migrations/0001_initial.py", "Python", 59, 0, 1, 7, 67
"/home/fidel/Websites/jooustconnectprod/social/migrations/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/fidel/Websites/jooustconnectprod/social/models.py", "Python", 45, 0, 0, 10, 55
"/home/fidel/Websites/jooustconnectprod/social/templates/social/feed.html", "HTML", 0, 458, 1, 50, 509
"/home/fidel/Websites/jooustconnectprod/social/templates/social/home.html", "HTML", 0, 11, 0, 1, 12
"/home/fidel/Websites/jooustconnectprod/social/templates/social/post_create.html", "HTML", 0, 83, 0, 12, 95
"/home/fidel/Websites/jooustconnectprod/social/templates/social/post_viewers.html", "HTML", 0, 21, 1, 4, 26
"/home/fidel/Websites/jooustconnectprod/social/tests.py", "Python", 1, 0, 1, 2, 4
"/home/fidel/Websites/jooustconnectprod/social/urls.py", "Python", 14, 0, 0, 1, 15
"/home/fidel/Websites/jooustconnectprod/social/views.py", "Python", 122, 0, 2, 27, 151
"Total", "-", 285, 573, 6, 128, 992